                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                  1.246,                 1.2208,                0.97194,                0.88778,                0.95676,                 0.9673,                0.62539,                 1.1961,                 1.2268,                0.96329,             0.00019188,             0.00019188,             0.00019188
                     73,                 1.1576,                 1.1341,                0.94325,                0.88778,                0.95676,                 0.9673,                0.62539,                 1.1961,                 1.2268,                0.96329,             0.00018569,             0.00018569,             0.00018569
                     74,                  1.092,                 1.1696,                0.96572,                 0.8861,                0.95521,                0.96966,                0.64366,                 1.1728,                   1.21,                0.96413,              0.0001795,              0.0001795,              0.0001795
                     75,                  1.113,                 1.1697,                0.99996,                 0.8861,                0.95521,                0.96966,                0.64366,                 1.1728,                   1.21,                0.96413,             0.00017331,             0.00017331,             0.00017331
                     76,                 1.1841,                 1.1661,                0.96026,                0.89869,                0.95424,                0.96781,                0.64076,                 1.1887,                   1.21,                0.96974,             0.00016713,             0.00016713,             0.00016713
                     77,                 1.1209,                 1.1576,                 0.9698,                0.89869,                0.95424,                0.96781,                0.64076,                 1.1887,                   1.21,                0.96974,             0.00016094,             0.00016094,             0.00016094
                     78,                 1.1443,                 1.1224,                0.96764,                0.89566,                0.94246,                0.96379,                0.63702,                 1.2232,                 1.2541,                0.97946,             0.00015475,             0.00015475,             0.00015475
                     79,                 1.1257,                 1.0666,                0.94526,                0.89566,                0.94246,                0.96379,                0.63702,                 1.2232,                 1.2541,                0.97946,             0.00014856,             0.00014856,             0.00014856
                     80,                 1.0713,                 1.1394,                0.95442,                 0.8968,                0.93927,                0.96318,                0.62045,                 1.2277,                 1.3042,                0.97665,             0.00014237,             0.00014237,             0.00014237
                     81,                 1.0901,                 1.0644,                0.92002,                 0.8968,                0.93927,                0.96318,                0.62045,                 1.2277,                 1.3042,                0.97665,             0.00013619,             0.00013619,             0.00013619
                     82,                 1.0698,                  1.136,                0.96138,                0.89382,                0.93333,                0.96248,                0.62932,                  1.212,                 1.3295,                0.96527,                0.00013,                0.00013,                0.00013
                     83,                 1.1034,                 1.0871,                0.94877,                0.89382,                0.93333,                0.96248,                0.62932,                  1.212,                 1.3295,                0.96527,             0.00012381,             0.00012381,             0.00012381
                     84,                 1.1851,                 1.0782,                0.95493,                0.88974,                0.93441,                0.96001,                0.63647,                 1.1665,                 1.3115,                0.95001,             0.00011763,             0.00011763,             0.00011763
                     85,                  1.133,                 1.1116,                0.94419,                0.88974,                0.93441,                0.96001,                0.63647,                 1.1665,                 1.3115,                0.95001,             0.00011144,             0.00011144,             0.00011144
                     86,                 1.1442,                 1.1012,                0.93218,                0.91669,                0.93208,                0.97108,                0.66745,                 1.1168,                 1.2556,                0.93767,             0.00010525,             0.00010525,             0.00010525
                     87,                 1.0606,                 1.0684,                0.92908,                0.91669,                0.93208,                0.97108,                0.66745,                 1.1168,                 1.2556,                0.93767,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     88,                 1.0498,                 1.0504,                0.94517,                0.90909,                0.94751,                0.97412,                 0.6735,                 1.0906,                 1.1943,                0.93165,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     89,                 1.1197,                  1.048,                0.95379,                0.90909,                0.94751,                0.97412,                 0.6735,                 1.0906,                 1.1943,                0.93165,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     90,                 1.1784,                  1.158,                 0.9864,                0.90843,                0.93531,                 0.9788,                0.67488,                 1.0817,                 1.1423,                0.92996,               8.05e-05,               8.05e-05,               8.05e-05
                     91,                 1.0765,                 1.0436,                0.99397,                0.90843,                0.93531,                 0.9788,                0.67488,                 1.0817,                 1.1423,                0.92996,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     92,                 1.0893,                 1.0192,                0.99744,                0.91337,                0.92722,                0.98109,                0.67721,                 1.0937,                 1.0974,                0.93261,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     93,                 1.0361,                  1.029,                 0.9471,                0.91337,                0.92722,                0.98109,                0.67721,                 1.0937,                 1.0974,                0.93261,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     94,                  1.063,                 1.0458,                0.97775,                0.93957,                0.93258,                0.98264,                0.66413,                 1.1174,                 1.0692,                0.93949,              5.575e-05,              5.575e-05,              5.575e-05
                     95,                 1.0622,                 1.0442,                0.99992,                0.93957,                0.93258,                0.98264,                0.66413,                 1.1174,                 1.0692,                0.93949,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     96,                 1.1049,                 1.0851,                 0.9739,                0.93876,                0.94047,                0.98374,                 0.6484,                 1.1426,                 1.0522,                0.94464,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     97,                 1.0527,                 1.0476,                 1.0034,                0.93876,                0.94047,                0.98374,                 0.6484,                 1.1426,                 1.0522,                0.94464,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     98,                  1.056,                 1.0336,                0.96887,                0.94083,                 0.9441,                0.98508,                0.64875,                 1.1523,                 1.0363,                0.94667,                3.1e-05,                3.1e-05,                3.1e-05
                     99,                 1.0308,                 1.0287,                0.98702,                0.94083,                 0.9441,                0.98508,                0.64875,                 1.1523,                 1.0363,                0.94667,             2.4813e-05,             2.4813e-05,             2.4813e-05
                    100,                 1.0733,                 1.0088,                0.98625,                0.94239,                0.94699,                0.98593,                0.64788,                 1.1499,                 1.0245,                0.94679,             1.8625e-05,             1.8625e-05,             1.8625e-05
